EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
CARNEGIE MELLON UNIVERSITY	MACHINE LEARNING RESEARCH ENGINEER	85000.0	PITTSBURGH, PA	09/14/2019	11/01/2019
CARNEGIE MELLON UNIVERSITY	MACHINE LEARNING RESEARCH ENGINEER	86490.0	PITTSBURGH, PA	05/27/2022	11/01/2022
SAMSUNG RESEARCH AMERICA INC	MACHINE LEARNING RESEARCH ENGINEER	103106.0	MOUNTAIN VIEW, CA	02/19/2019	08/18/2019
SAMSUNG RESEARCH AMERICA INC	MACHINE LEARNING RESEARCH ENGINEER	109242.0	MOUNTAIN VIEW, CA	02/07/2019	08/06/2019
QEEXO CO	MACHINE LEARNING RESEARCH ENGINEER	110000.0	PITTSBURGH, PA	03/13/2019	09/12/2019
QEEXO CO	MACHINE LEARNING RESEARCH ENGINEER	110000.0	PITTSBURGH, PA	01/17/2019	07/17/2019
EMBODYVR INC	MACHINE LEARNING RESEARCH ENGINEER	112000.0	SAN MATEO, CA	03/19/2021	09/06/2021
EMBODYVR INC	MACHINE LEARNING RESEARCH ENGINEER	112000.0	SAN MATEO, CA	03/19/2021	09/06/2021
QEEXO CO	MACHINE LEARNING RESEARCH ENGINEER	115000.0	PITTSBURGH, PA	04/15/2020	10/01/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	116900.0	SAN DIEGO, CA	06/12/2020	06/22/2020
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	116900.0	PITTSBURGH, PA	06/12/2020	06/22/2020
UBER TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	119101.0	PALO ALTO, CA	08/31/2018	09/07/2018
SAMSUNG RESEARCH AMERICA INC	MACHINE LEARNING RESEARCH ENGINEER	119101.0	MOUNTAIN VIEW, CA	02/07/2019	08/06/2019
SAMSUNG RESEARCH AMERICA INC	MACHINE LEARNING RESEARCH ENGINEER	120000.0	MOUNTAIN VIEW, CA	02/20/2020	03/02/2020
COGNITIVE SCALE INC	MACHINE LEARNING RESEARCH ENGINEER	120000.0	AUSTIN, TX	03/06/2017	08/01/2017
IMAGEN TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	125000.0	NEW YORK, NY	03/07/2018	08/11/2018
DIFFBOT TECHNOLOGIES CORP	MACHINE LEARNING RESEARCH ENGINEER	130000.0	MOUNTAIN VIEW, CA	03/08/2019	09/07/2019
COGNITIVE SCALE INC	MACHINE LEARNING RESEARCH ENGINEER	130000.0	AUSTIN, TX	03/08/2017	08/01/2017
DIFFBOT TECHNOLOGIES CORP	MACHINE LEARNING RESEARCH ENGINEER	131997.0	MOUNTAIN VIEW, CA	03/11/2019	09/10/2019
DIFFBOT TECHNOLOGIES CORP	MACHINE LEARNING RESEARCH ENGINEER	131997.0	MOUNTAIN VIEW, CA	03/22/2019	09/21/2019
UBER TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	131997.0	PALO ALTO, CA	08/31/2018	09/07/2018
TOTEMIC INC	MACHINE LEARNING RESEARCH ENGINEER	131997.0	PALO ALTO, CA	03/19/2019	09/16/2019
SAMSUNG RESEARCH AMERICA INC	MACHINE LEARNING RESEARCH ENGINEER	140000.0	MOUNTAIN VIEW, CA	01/13/2021	01/26/2021
SCALE AI INC	MACHINE LEARNING RESEARCH ENGINEER	141586.0	PALO ALTO, CA	02/25/2020	08/24/2020
FREENOME INC	MACHINE LEARNING RESEARCH ENGINEER	141877.0	SOUTH SAN FRANCISCO, CA	01/29/2018	03/26/2018
SCALE AI INC	MACHINE LEARNING RESEARCH ENGINEER	142147.0	SAN FRANCISCO, CA	09/02/2020	10/01/2020
SCALE AI INC	MACHINE LEARNING RESEARCH ENGINEER	150000.0	SAN FRANCISCO, CA	04/01/2022	10/01/2022
UBER TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	158800.0	SAN FRANCISCO, CA	04/30/2021	10/01/2021
KATANA GRAPH INC	MACHINE LEARNING RESEARCH ENGINEER	160000.0	BOSTON, MA	07/13/2022	10/01/2022
FREENOME HOLDINGS INC	MACHINE LEARNING RESEARCH ENGINEER	160000.0	SOUTH SAN FRANCISCO, CA	07/12/2018	07/23/2018
KATANA GRAPH INC	MACHINE LEARNING RESEARCH ENGINEER	160000.0	LEBANON, NH	04/14/2022	10/01/2022
TWITTER INC	MACHINE LEARNING RESEARCH ENGINEER	168000.0	SAN FRANCISCO, CA	09/25/2019	10/08/2019
CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD	MACHINE LEARNING RESEARCH ENGINEER	175000.0	AUSTIN, TX	08/13/2019	09/09/2019
SCALE AI INC	MACHINE LEARNING RESEARCH ENGINEER	190000.0	SAN FRANCISCO, CA	04/05/2022	04/18/2022
UBER TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	193600.0	SAN FRANCISCO, CA	12/17/2021	12/18/2021
UBER TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	193600.0	SAN FRANCISCO, CA	12/17/2021	12/18/2021
UBER TECHNOLOGIES INC	MACHINE LEARNING RESEARCH ENGINEER	193600.0	SAN FRANCISCO, CA	12/17/2021	12/18/2021
FACTSPREAD	MACHINE LEARNING ENGINEER	61740.0	COLUMBUS, OH	06/29/2020	07/08/2020
LEXINNOVA TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	66400.0	SAN JOSE, CA	03/15/2019	09/11/2019
COMPROBASE INC	MACHINE LEARNING ENGINEER	73400.0	GREENVILLE, SC	01/07/2021	01/18/2021
BIRTLEY INDUSTRIAL EQUIPMENT CORPORATION	MACHINE LEARNING ENGINEER	75840.0	LEXINGTON, KY	08/23/2018	10/01/2018
FACTSPREAD	MACHINE LEARNING ENGINEER	76000.0	QUEENS, NY	10/06/2020	10/08/2020
12-15 MOLECULAR DIAGNOSTICS LLC	MACHINE LEARNING ENGINEER	78340.0	BRANFORD, CT	04/14/2020	10/01/2020
OBEN INC	MACHINE LEARNING ENGINEER	92000.0	PASADENA, CA	01/13/2020	01/20/2020
ADECCO GROUP NA/MODIS INC	MACHINE LEARNING ENGINEER	92740.0	DEARBORN, MI	04/04/2022	10/01/2022
ASTRATA INC	MACHINE LEARNING ENGINEER	95200.0	PITTSBURGH, PA	12/16/2020	01/01/2021
ASTRATA INC	MACHINE LEARNING ENGINEER	95200.0	PITTSBURGH, PA	12/16/2020	01/01/2021
PRIMESOFT INC	MACHINE LEARNING ENGINEER	98000.0	BROOKLYN, NY	11/11/2021	11/19/2021
ADVANTIS GLOBAL INC	MACHINE LEARNING ENGINEER	100000.0	DALLAS, TX	06/02/2021	06/14/2021
ADVANTIS GLOBAL INC	MACHINE LEARNING ENGINEER	100000.0	DALLAS, TX	06/02/2021	06/14/2021
PTEC SOLUTIONS INC	MACHINE LEARNING ENGINEER	103000.0	SAN JOSE, CA	03/11/2019	07/15/2019
HITHINK FINANCIAL SERVICES INC	MACHINE LEARNING ENGINEER	112120.0	NEW YORK, NY	03/27/2020	03/27/2020
ADVANTIS GLOBAL INC	MACHINE LEARNING ENGINEER	120000.0	SAN JOSE, CA	04/05/2021	10/01/2021
ADVANTIS GLOBAL INC	MACHINE LEARNING ENGINEER	120000.0	AUSTIN, TX	06/18/2021	06/28/2021
ADVANTIS GLOBAL INC	MACHINE LEARNING ENGINEER	120000.0	AUSTIN, TX	06/18/2021	06/28/2021
ALGORIZIN INC	MACHINE LEARNING ENGINEER	138000.0	NEW YORK, NY	04/23/2022	10/01/2022
KELLS INC	MACHINE LEARNING ENGINEER	140000.0	BROOKLYN, NY	09/20/2021	10/01/2021
KELLS INC	MACHINE LEARNING ENGINEER	140000.0	BROOKLYN, NY	09/27/2021	10/01/2021
ADVANTIS GLOBAL INC	MACHINE LEARNING ENGINEER	140000.0	REDWOOD CITY, CA	06/09/2022	06/20/2022
HITHINK FINANCIAL SERVICES INC	MACHINE LEARNING ENGINEER	55800.0	SCHAUMBURG, IL	03/16/2017	09/15/2017
ABRIDGE AI INC	MACHINE LEARNING ENGINEER	59197.0	PITTSBURGH, PA	03/14/2019	09/13/2019
KARWELL TECHNOLOGIIES INC	MACHINE LEARNING ENGINEER	60000.0	SOUTH PLAINFIELD, NJ	10/31/2019	11/08/2019
TRAXEN INC	MACHINE LEARNING ENGINEER	60000.0	PLYMOUTH, MI	04/19/2020	10/01/2020
FRELII INC	MACHINE LEARNING ENGINEER	65000.0	LEHI, UT	03/16/2019	09/01/2019
IMANAGE LLC	MACHINE LEARNING ENGINEER	65000.0	CHICAGO, IL	06/09/2020	10/01/2020
FRELII INC	MACHINE LEARNING ENGINEER	65000.0	PITTSBURGH, PA	06/11/2020	10/01/2020
TRIMBLE INC	MACHINE LEARNING ENGINEER	66248.0	WESTMINSTER, CO	09/21/2020	10/01/2020
BIRTLEY INDUSTRIAL EQUIPMENT CORPORATION	MACHINE LEARNING ENGINEER	67000.0	LEXINGTON, KY	08/23/2018	10/01/2018
ACV AUCTIONS INC	MACHINE LEARNING ENGINEER	68432.0	BUFFALO, NY	01/05/2021	01/13/2021
CENTURY INTERACTIVE COMPANY LC	MACHINE LEARNING ENGINEER	70000.0	DALLAS, TX	02/24/2020	08/22/2020
FRENZY LABS INC	MACHINE LEARNING ENGINEER	73885.0	LOS ANGELES, CA	03/28/2018	08/15/2018
MEASURED SEARCH INC	MACHINE LEARNING ENGINEER	75000.0	NORTHBROOK, IL	02/22/2017	08/15/2017
AMAPPER CORPORATION	MACHINE LEARNING ENGINEER	75000.0	BOCA RATON, FL	05/22/2020	10/01/2020
AMAPPER CORPORATION	MACHINE LEARNING ENGINEER	75000.0	BOCA RATON, FL	05/29/2020	10/01/2020
PAII INC	MACHINE LEARNING ENGINEER	79200.0	NEW YORK, NY	05/13/2020	10/01/2020
H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE INC	MACHINE LEARNING ENGINEER	79311.0	TAMPA, FL	07/21/2021	08/31/2021
CHEP INTERNATIONAL INC	MACHINE LEARNING ENGINEER	79360.0	ORLANDO, FL	04/01/2020	04/06/2020
MOTOROLA MOBILITY LLC	MACHINE LEARNING ENGINEER	79784.0	CHICAGO, IL	03/06/2018	08/26/2018
IVANI LLC	MACHINE LEARNING ENGINEER	80000.0	DARDENNE PRAIRIE, MO	03/13/2019	09/11/2019
SINGULARITY SYSTEMS INC	MACHINE LEARNING ENGINEER	80000.0	PRINCETON, NJ	05/04/2021	10/01/2021
SINGULARITY SYSTEMS INC	MACHINE LEARNING ENGINEER	80000.0	PRINCETON, NJ	05/07/2021	10/01/2021
SINGULARITY SYSTEMS INC	MACHINE LEARNING ENGINEER	80000.0	PRINCETON, NJ	05/12/2021	10/01/2021
ICURO LLC	MACHINE LEARNING ENGINEER	80000.0	BLACKSBURG, VA	05/19/2021	10/01/2021
DEKA RESEARCH & DEVELOPMENT CORPORATION	MACHINE LEARNING ENGINEER	80000.0	MANCHESTER, NH	05/04/2020	10/01/2020
DEKA RESEARCH & DEVELOPMENT CORPORATION	MACHINE LEARNING ENGINEER	80000.0	MANCHESTER, NH	05/04/2020	10/01/2020
BUSINESSOLVERCOM INC	MACHINE LEARNING ENGINEER	80000.0	BELLEVUE, WA	02/26/2018	08/15/2018
BUDGET DUMPSTER LLC	MACHINE LEARNING ENGINEER	80000.0	WESTLAKE, OH	02/24/2020	08/19/2020
CLOSEDLOOPAI INC	MACHINE LEARNING ENGINEER	80000.0	AUSTIN, TX	03/25/2021	09/21/2021
CLOSEDLOOPAI INC	MACHINE LEARNING ENGINEER	80000.0	AUSTIN, TX	03/31/2021	09/21/2021
TOWER HILL INSURANCE GROUP LLC	MACHINE LEARNING ENGINEER	80000.0	GAINESVILLE, FL	04/12/2021	10/01/2021
PIER 1 SERVICES COMPANY A DELAWARE STATUTORY TRUST	MACHINE LEARNING ENGINEER	80000.0	FORT WORTH, TX	03/13/2019	09/03/2019
PIER 1 SERVICES COMPANY A DELAWARE STATUTORY TRUST	MACHINE LEARNING ENGINEER	80000.0	FORT WORTH, TX	03/13/2019	09/03/2019
TEK LEADERS INC	MACHINE LEARNING ENGINEER	80000.0	PHILADELPHIA, PA	06/03/2020	10/01/2020
PIENSO INC	MACHINE LEARNING ENGINEER	80000.0	BROOKLYN, NY	03/15/2018	09/11/2018
DEKA RESEARCH & DEVELOPMENT CORPORATION	MACHINE LEARNING ENGINEER	80000.0	MANCHESTER, NH	05/04/2020	10/01/2020
DEKA RESEARCH & DEVELOPMENT CORPORATION	MACHINE LEARNING ENGINEER	80000.0	MANCHESTER, NH	05/04/2020	10/01/2020
PACTERA TECHNOLOGIES NA INC	MACHINE LEARNING ENGINEER	80000.0	STILLWATER, OK	05/06/2022	10/01/2022
ACV AUCTIONS INC	MACHINE LEARNING ENGINEER	80267.0	CHARLOTTE, NC	08/17/2021	10/01/2021
SILKROUTE GLOBAL INC	MACHINE LEARNING ENGINEER	80309.0	TROY, MI	03/22/2019	09/17/2019
MEANING BOT INC	MACHINE LEARNING ENGINEER	80496.0	GREENWICH, CT	04/15/2022	04/26/2022
QUANTIPHI INC	MACHINE LEARNING ENGINEER	80640.0	MARLBOROUGH, MA	06/05/2020	10/01/2020
SERVICENOW INC	MACHINE LEARNING ENGINEER	80912.0	CHICAGO, IL	02/13/2019	08/11/2019
DEKA RESEARCH & DEVELOPMENT CORP	MACHINE LEARNING ENGINEER	81000.0	MANCHESTER, NH	04/14/2021	10/01/2021
DEKA RESEARCH & DEVELOPMENT CORP	MACHINE LEARNING ENGINEER	81000.0	MANCHESTER, NH	04/14/2021	10/01/2021
SIMPLEHUMAN LLC	MACHINE LEARNING ENGINEER	81390.0	TORRANCE, CA	03/25/2022	09/24/2022
OLIVE AI INC	MACHINE LEARNING ENGINEER	81500.0	TAMPA, FL	09/14/2021	10/01/2021
GATC HEALTH CORP	MACHINE LEARNING ENGINEER	81900.0	PITTSBURGH, PA	08/13/2021	09/01/2021
DECIDE TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	81910.0	PLANO, TX	08/26/2022	08/31/2022
INTL FCSTONE INC	MACHINE LEARNING ENGINEER	81931.0	CHICAGO, IL	02/05/2020	03/02/2020
INTL FCSTONE INC	MACHINE LEARNING ENGINEER	82000.0	CHICAGO, IL	03/03/2020	09/02/2020
ENVISION DIAGNOSTICS INC	MACHINE LEARNING ENGINEER	82618.0	EL SEGUNDO, CA	03/01/2019	08/22/2019
CYBER-DIVE CORP	MACHINE LEARNING ENGINEER	83000.0	MESA, AZ	03/09/2022	09/06/2022
VIDEAHEALTH INC	MACHINE LEARNING ENGINEER	83500.0	CAMBRIDGE, MA	05/05/2021	10/01/2021
VIDEAHEALTH INC	MACHINE LEARNING ENGINEER	83500.0	CAMBRIDGE, MA	03/15/2021	03/17/2021
GLAXOSMITHKLINE LLC	MACHINE LEARNING ENGINEER	83866.0	SOUTH SAN FRANCISCO, CA	07/16/2019	08/16/2019
GLAXOSMITHKLINE LLC	MACHINE LEARNING ENGINEER	83866.0	SOUTH SAN FRANCISCO, CA	07/15/2019	10/01/2019
SYNAPSIS INC	MACHINE LEARNING ENGINEER	84614.0	PITTSBURGH, PA	07/26/2022	08/08/2022
SYNAPSIS INC	MACHINE LEARNING ENGINEER	84614.0	PITTSBURGH, PA	07/26/2022	08/08/2022
COLABERRY INC	MACHINE LEARNING ENGINEER	84698.0	BOSTON, MA	03/24/2019	09/15/2019
COLABERRY INC	MACHINE LEARNING ENGINEER	84698.0	BOSTON, MA	03/25/2019	09/24/2019
BANJO INC	MACHINE LEARNING ENGINEER	84781.0	PARK CITY, UT	02/19/2019	08/01/2019
BANJO INC	MACHINE LEARNING ENGINEER	84781.0	PARK CITY, UT	02/19/2019	08/01/2019
NINOH INC	MACHINE LEARNING ENGINEER	85000.0	NEW YORK, NY	03/03/2016	08/27/2016
PAINTED DOG INC	MACHINE LEARNING ENGINEER	85000.0	NEW YORK, NY	03/18/2019	09/06/2019
VISTRA CORPORATE SERVICES COMPANY	MACHINE LEARNING ENGINEER	85000.0	IRVING, TX	03/23/2018	09/18/2018
ROAM ANALYTICS INC	MACHINE LEARNING ENGINEER	85000.0	SAN MATEO, CA	02/19/2016	08/20/2016
