Company	Location	Date	Level Name	Tag	Years of Experience	Total / At Company	Negotiated	Total Compensation (USD)	Base	Stock (yr)	Bonus
Facebook	New York, NY 	 2 hours ago	E3	ML / AI	1 yr 	1 yr	0	$174,000	124K 	 N/A 	 50K
	New York, NY 	 3 days ago	E4	ML / AI	1 yr 	1 yr	0	$267,000	170K 	 80K 	 17K
	New York, NY 	 12/29/2022	E3	ML / AI	0 yrs 	0 yrs	0	$198,999	130K 	 40K 	 29K
	Pittsburgh, PA 	 12/16/2022	E4	ML / AI	1 yr 	1 yr	0	$205,000	125K 	 80K 	 N/A
	Menlo Park, CA 	 12/03/2022	E5	ML / AI	2 yrs 	2 yrs	0	$280,000	200K 	 50K 	 30K
	New York, NY 	 12/01/2022	E4	ML / AI	2 yrs 	2 yrs	0	$245,150	164.1K 	 56.5K 	 24.6K
	Los Angeles, CA 	 11/30/2022	L2	ML / AI	2-4 yrs 	0-1 yrs	0	$200,000	170K 	 30K 	 N/A
	San Francisco, CA 	 11/18/2022	E4	ML / AI	1 yr 	1 yr	0	$245,000	165K 	 80K 	 N/A
	Menlo Park, CA 	 11/15/2022	E4	ML / AI	2 yrs 	2 yrs	0	$210,000	170K 	 40K 	 N/A
	Seattle, WA 	 11/15/2022	E4	ML / AI	1 yr 	1 yr	0	$220,000	160K 	 60K 	 N/A
	Seattle, WA 	 11/12/2022	E4	ML / AI	0 yrs 	0 yrs	0	$240,000	160K 	 80K 	 N/A
	Menlo Park, CA 	 11/07/2022	E4	ML / AI	1 yr 	1 yr	0	$210,000	170K 	 40K 	 N/A
	New York, NY 	 11/03/2022	E3	ML / AI	1 yr 	1 yr	0	$164,000	124K 	 40K 	 N/A
	Sunnyvale, CA 	 11/02/2022	E4	ML / AI	2 yrs 	2 yrs	0	$226,000	168K 	 58K 	 N/A
	Los Angeles, CA 	 09/14/2022	E3	ML / AI	2 yrs 	0 yrs	0	$175,000	150K 	 25K 	 N/A
	New York, NY 	 09/12/2022	E4	ML / AI	2 yrs 	2 yrs	0	$276,000	170K 	 80K 	 26K
	Menlo Park, CA 	 08/31/2022	E5	ML / AI	2 yrs 	2 yrs	0	$368,000	198K 	 150K 	 20K
	Menlo Park, CA 	 08/22/2022	E4	ML / AI	0 yrs 	0 yrs	0	$331,250	175K 	 111.3K 	 45K
	Menlo Park, CA 	 08/22/2022	E4	ML / AI	1 yr 	1 yr	0	$275,000	170K 	 80K 	 25K
	Menlo Park, CA 	 08/12/2022	E4	ML / AI	1 yr 	1 yr	0	$250,000	170K 	 80K 	 N/A
	Seattle, WA 	 08/05/2022	E4	ML / AI	1 yr 	1 yr	0	$270,000	160K 	 90K 	 20K
	Menlo Park, CA 	 08/02/2022	E3	ML / AI	0 yrs 	0 yrs	0	$238,000	118K 	 40K 	 80K
	New York, NY 	 07/31/2022	E3	ML / AI	0 yrs 	0 yrs	0	$132,750	124K 	 N/A 	 8.8K
	Menlo Park, CA 	 07/20/2022	E3	ML / AI	2 yrs 	2 yrs	0	$175,000	135K 	 40K 	 N/A
	Menlo Park, CA 	 07/19/2022	E4	ML / AI	2 yrs 	2 yrs	0	$253,300	168.3K 	 60K 	 25K
	New York, NY 	 07/01/2022	E4	ML / AI	0 yrs 	0 yrs	0	$190,125	168K 	 22.1K 	 N/A
	Menlo Park, CA 	 07/01/2022	E4	ML / AI	0 yrs 	0 yrs	0	$355,700	168K 	 137.5K 	 50.2K
	Boston, MA 	 07/01/2022	E4	ML / AI	2 yrs 	0 yrs	0	$343,750	175K 	 125K 	 17.5K
	Menlo Park, CA 	 06/23/2022	E4	ML / AI	1 yr 	1 yr	0	$278,000	168K 	 80K 	 30K
	Menlo Park, CA 	 06/01/2022	E3	ML / AI	0 yrs 	0 yrs	0	$230,550	138K 	 60K 	 32.6K
	Seattle, WA 	 06/01/2022	E4	ML / AI	0 yrs 	0 yrs	0	$310,750	160K 	 104K 	 46.8K
	Menlo Park, CA 	 06/01/2022	E3	ML / AI	0 yrs 	0 yrs	0	$166,500	129K 	 37.5K 	 N/A
	San Francisco, CA 	 05/31/2022	E4	ML / AI	2 yrs 	0 yrs	0	$265,000	165K 	 75K 	 25K
	New York, NY 	 05/31/2022	E3	ML / AI	0 yrs 	0 yrs	0	$233,000	118K 	 40K 	 75K
	Burlingame, CA 	 05/01/2022	E4	ML / AI	0 yrs 	0 yrs	0	$260,350	159K 	 65K 	 36.4K
	Menlo Park, CA 	 05/01/2022	E4	ML / AI	0 yrs 	0 yrs	0	$332,200	168K 	 112.5K 	 51.7K
	Seattle, WA 	 04/30/2022	E4	ML / AI	2 yrs 	0 yrs	+$100K	$314,375	175K 	 91.3K 	 48.1K
	Menlo Park, CA 	 04/27/2022	E4	ML / AI	2 yrs 	0 yrs	0	$324,100	184K 	 100K 	 40.1K
	Charlotte, NC 	 04/23/2022	E4	ML / AI	2 yrs 	0 yrs	0	$270,450	158K 	 78.8K 	 33.7K
	San Francisco, CA 	 04/22/2022	E3	ML / AI	1 yr 	1 yr	0	$175,300	123K 	 40K 	 12.3K
	New York, NY 	 04/14/2022	E4	ML / AI	1 yr 	0 yrs	0	$367,850	184K 	 137.5K 	 46.4K
	Baltimore, MD 	 04/13/2022	E4	ML / AI	2 yrs 	0 yrs	0	$313,000	170K 	 100K 	 43K
	Menlo Park, CA 	 03/22/2022	E4	ML / AI	2 yrs 	2 yrs	0	$315,000	175K 	 115K 	 25K
	New York, NY 	 03/09/2022	E4	ML / AI	2 yrs 	2 yrs	0	$273,000	168K 	 85K 	 20K
	Menlo Park, CA 	 03/01/2022	E3	ML / AI	1 yr 	0 yrs	0	$174,000	124K 	 38K 	 12K
	Menlo Park, CA 	 03/01/2022	E3	ML / AI	2 yrs 	0 yrs	0	$194,400	129K 	 37.5K 	 27.9K
	Sunnyvale, CA 	 02/28/2022	E4	ML / AI	2 yrs 	2 yrs	0	$300,000	170K 	 130K 	 N/A
	Menlo Park, CA 	 02/28/2022	E4	ML / AI	0 yrs 	0 yrs	0	$303,000	168K 	 88.8K 	 46.3K
	Menlo Park, CA 	 02/25/2022	E4	ML / AI	1 yr 	1 yr	0	$223,000	159K 	 40K 	 24K
	Cambridge, MA 	 02/16/2022	E4	ML / AI	2 yrs 	2 yrs	0	$227,000	170K 	 40K 	 17K
	Menlo Park, CA 	 02/12/2022	E3	ML / AI	0 yrs 	0 yrs	0	$179,000	129K 	 40K 	 10K
	Menlo Park, CA 	 02/01/2022	E3	ML / AI	0 yrs 	0 yrs	0	$220,025	129K 	 55K 	 36K
	Los Angeles, CA 	 02/01/2022	E4	ML / AI	2 yrs 	0 yrs	0	$318,100	169K 	 105K 	 44.1K
	Menlo Park, CA 	 01/31/2022	E4	ML / AI	0 yrs 	0 yrs	0	$340,500	170K 	 120K 	 50.5K
	New York, NY 	 01/29/2022	E4	ML / AI	0 yrs 	0 yrs	0	$281,000	168K 	 88K 	 25K
	Menlo Park, CA 	 01/26/2022	E4	ML / AI	0 yrs 	0 yrs	0	$268,000	168K 	 75K 	 25K
	San Francisco, CA 	 01/25/2022	E3	ML / AI	0 yrs 	0 yrs	0	$197,000	129K 	 55K 	 13K
	Burlingame, CA 	 01/11/2022	E3	ML / AI	1 yr 	1 yr	0	$200,000	120K 	 55K 	 25K
	New York, NY 	 01/01/2022	E4	ML / AI	1 yr 	0 yrs	0	$250,500	168K 	 82.5K 	 N/A
	Seattle, WA 	 12/31/2021	E4	ML / AI	2 yrs 	0 yrs	0	$318,750	175K 	 100K 	 43.8K
	Menlo Park, CA 	 12/30/2021	E4	ML / AI	0 yrs 	0 yrs	0	$273,000	168K 	 88K 	 17K
	Seattle, WA 	 12/28/2021	E4	ML / AI	2 yrs 	0 yrs	0	$244,000	154K 	 55K 	 35K
	Seattle, WA 	 12/22/2021	E4	ML / AI	0 yrs 	0 yrs	0	$272,000	160K 	 96K 	 16K
	Menlo Park, CA 	 12/21/2021	E3	ML / AI	0 yrs 	0 yrs	0	$197,000	129K 	 55K 	 13K
	Menlo Park, CA 	 12/11/2021	E4	ML / AI	1 yr 	0 yrs	0	$270,000	168K 	 85K 	 17K
	Menlo Park, CA 	 12/10/2021	E4	ML / AI	1 yr 	1 yr	0	$256,000	160K 	 80K 	 16K
	New York, NY 	 12/06/2021	E4	ML / AI	2 yrs 	0 yrs	0	$270,000	165K 	 88K 	 17K
	Menlo Park, CA 	 12/06/2021	E4	ML / AI	0 yrs 	0 yrs	0	$260,000	168K 	 75K 	 17K
	New York, NY 	 12/03/2021	E3	ML / AI	0 yrs 	0 yrs	0	$180,000	129K 	 38K 	 13K
	Seattle, WA 	 11/26/2021	E4	ML / AI	1 yr 	1 yr	0	$259,000	160K 	 83K 	 16K
	Menlo Park, CA 	 11/11/2021	E3	ML / AI	1 yr 	0 yrs	0	$172,000	124K 	 38K 	 10K
	Seattle, WA 	 11/11/2021	E3	ML / AI	0 yrs 	0 yrs	0	$168,000	118K 	 38K 	 12K
	New York, NY 	 11/09/2021	E4	ML / AI	0 yrs 	0 yrs	0	$288,000	168K 	 100K 	 20K
Aira Technology	Saratoga, CA 	 a day ago	-	ML / AI	2 yrs 	2 yrs	0	$160,000	150K 	 10K 	 N/A
Peloton	New York, NY 	 2 days ago	L4	ML / AI	2 yrs 	1 yr	0	$227,500	165K 	 62.5K 	 N/A
Corvus Insurance	San Antonio, TX 	 2 days ago	L1	ML / AI	1 yr 	0 yrs	0	$115,000	115K 	 N/A 	 N/A
	Boston, MA 	 02/08/2022	L4	ML / AI	2 yrs 	1 yr	0	$113,000	110K 	 3K 	 N/A
Google	New York, NY 	 4 days ago	L1	ML / AI	1 yr 	0 yrs	0	$167,039	119.3K 	 47.7K 	 N/A
	New York, NY 	 01/01/2023	L1	ML / AI	1 yr 	1 yr	0	$230,000	120K 	 110K 	 N/A
	Mountain View, CA 	 12/29/2022	L4	ML / AI	0 yrs 	0 yrs	0	$357,900	196K 	 132.5K 	 29.4K
	San Francisco, CA 	 12/28/2022	L3	ML / AI	1 yr 	0 yrs	0	$215,000	175K 	 40K 	 N/A
	Mountain View, CA 	 12/28/2022	L3	ML / AI	0 yrs 	0 yrs	0	$190,600	144K 	 25K 	 21.6K
	New York, NY 	 12/27/2022	L3	ML / AI	1 yr 	0 yrs	0	$192,500	180K 	 12.5K 	 N/A
